title,drive_link,class_tag,is_free,search_keywords
Sociology-pyqs-2025-11th.pdf,https://drive.google.com/file/d/14f7PO9NfOZsLJSkrEq49kKVU56MRVafb/view?usp=drivesdk,11th,no,Sociology
Statistics-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1PeD3o7d9CqpxCFe-p1upmB8vohKSqYbd/view?usp=drivesdk,11th,no,Statistics
Statistics-pyqs-2024-11th.pdf,https://drive.google.com/file/d/1C8jXoVIL8Nl5jGTxu1FrTNLsmBY3nFnA/view?usp=drivesdk,11th,no,Statistics
Urdu-pyqs-2018-11th.pdf,https://drive.google.com/file/d/19pGb9V2rEJjhgb_oMEPI7J6dRe2Rv5dG/view?usp=drivesdk,11th,no,Urdu
Urdu-pyqs-2021-11th.pdf,https://drive.google.com/file/d/17eun7TnyuTHaJgLG5wy9DQZmuv1IgV37/view?usp=drivesdk,11th,no,Urdu
Urdu-pyqs-2022-11th.pdf,https://drive.google.com/file/d/1tMraR1oyDA0iAbxp_AvKNxPVSlcOF4L5/view?usp=drivesdk,11th,no,Urdu
Zoology-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1DHx5b9DAXMTWXXwmUnnoeK5FHDigDjFc/view?usp=drivesdk,11th,no,Zoology
Zoology-pyqs-2024-11th.pdf,https://drive.google.com/file/d/14IarTKpxELFH4sXfd0FAmlaMgLZssRjF/view?usp=drivesdk,11th,no,Zoology
Zoology-pyqs-2022-11th.pdf,https://drive.google.com/file/d/1DEw8Kypi1YzZ8ABMiDy0Zln1SBhWA31Y/view?usp=drivesdk,11th,no,Zoology
Zoology-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1cMgvm0aRoZPYik8UYcmGkhY8RBEz8LEM/view?usp=drivesdk,11th,no,Zoology
Zoology-pyqs-2021-11th.pdf,https://drive.google.com/file/d/1xMSWca0AL8T5Y9Kq9EfgjB7ZgEoDdcW5/view?usp=drivesdk,11th,no,Zoology
Zoology-pyqs-2020-11th.pdf,https://drive.google.com/file/d/1YOxGTayVH5suw1Oy2nYLhr39WZykQJVY/view?usp=drivesdk,11th,no,Zoology
Zoology-pyqs-2018-11th.pdf,https://drive.google.com/file/d/1RgyU0tVZCrvSrUosdxXdspDJrpI-VRva/view?usp=drivesdk,11th,no,Zoology
Urdu-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1e2t6klrT-aU9KIpZQbYd_piC_EHUYkKu/view?usp=drivesdk,11th,no,Urdu
Zoology-pyqs-2011-11th.pdf,https://drive.google.com/file/d/1LGEFiDjOeoo9aow_R_t1vKbuiaYoGZZl/view?usp=drivesdk,11th,no,Zoology
Urdu-pyqs-2024-11th.pdf,https://drive.google.com/file/d/1r34L3v3VaESd-c0MKTunfwfcgC7i5F1c/view?usp=drivesdk,11th,no,Urdu
Zoology-pyqs-2020-11th.pdf,https://drive.google.com/file/d/13YkUV5eg-sCJJK5D_BCeVuWt5K7H74tx/view?usp=drivesdk,11th,no,Zoology
Sociology-pyqs-2022-11th.pdf,https://drive.google.com/file/d/1pzyz0JJQPEKbOeURvWX80M1bKUWwHepg/view?usp=drivesdk,11th,no,Sociology
Sociology-pyqs-2021-11th.pdf,https://drive.google.com/file/d/1tT-g5J96VT3z2Wnk1IcFijmI6aVse2b3/view?usp=drivesdk,11th,no,Sociology
Political-Science-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1AFw0m59sdi4AgGd2hw1H3ESRi0s8fue_/view?usp=drivesdk,11th,no,Political
Political-Science-pyqs-2024-11th.pdf,https://drive.google.com/file/d/11mTwVbU0p6HcceAdlLsA_HSmwD20_3sk/view?usp=drivesdk,11th,no,Political
Physical-Education-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1p7kgoVwGTVDICLBXybBEtCjZcUaaBXCa/view?usp=drivesdk,11th,no,Physical
Political-Science-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1Zei2S7ta1Cubq3nGAXgyNGL9XiOCMKN9/view?usp=drivesdk,11th,no,Political
Political-Science-pyqs-2022-11th.pdf,https://drive.google.com/file/d/1teF-F4kFpkX-YueISMfPh0VmlOBs3lGQ/view?usp=drivesdk,11th,no,Political
Political-Science-pyqs-2021-11th.pdf,https://drive.google.com/file/d/13Z9Z6ALxhb9W2gQbENYCoOLIiZzb1mG3/view?usp=drivesdk,11th,no,Political
Political-Science-pyqs-2020-11th.pdf,https://drive.google.com/file/d/1eaXAeMjFs45RZWyEmbZ_iy9HSlPycMsx/view?usp=drivesdk,11th,no,Political
Political-Science-pyqs-2018-11th.pdf,https://drive.google.com/file/d/1GeveZYcXfev_PqrkRaH7ckPZGWKR531b/view?usp=drivesdk,11th,no,Political
Physics-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1Fm8KZXcIrlG3X36xnXmssrc3kHC7L2uX/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2024-11th.pdf,https://drive.google.com/file/d/1AyEQsY4pJQWVb5Ve4v6mCLn3_UOE8-DU/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2023-11th.pdf,https://drive.google.com/file/d/12zQLMjmqMWVIIfRAqRT-4QkDzJBiSrj9/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2022-11th.pdf,https://drive.google.com/file/d/1SmQRwDJpN6Zwu9FhjCnoWNdV_r5rToAV/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2021-11th.pdf,https://drive.google.com/file/d/1QG9NNG1JAfoy6_z9FXVRC34ihBtKmebI/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2020-11th.pdf,https://drive.google.com/file/d/18cPkQzpQd12cb1R_hJ3L1WftsxRM0fhm/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2019-11th.pdf,https://drive.google.com/file/d/1WTBfCLxmGUMKhH8vTwvLIHue3M-ZbA7C/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2018-11th.pdf,https://drive.google.com/file/d/173N9jAm6t12cwiOgF6U8NBI1XxJ5bNCS/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2017-11th.pdf,https://drive.google.com/file/d/1CDJg28moJxWk5jIbozJODJkq2JM-x59H/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2015-11th.pdf,https://drive.google.com/file/d/1MwY_QT_jD9gAnAcfo5NkyFuUj8Oi8vnj/view?usp=drivesdk,11th,no,Physics
Physics-pyqs-2011-11th.pdf,https://drive.google.com/file/d/1SfJTAsakAM9Y4En6KOusKb5Ok-aRFyQ2/view?usp=drivesdk,11th,no,Physics
Physical-Education-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1jQCJ-zIyykxWE8c8O0cm_7pFsmVPKUWH/view?usp=drivesdk,11th,no,Physical
Physical-Education-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1fZI3BEGLRJ0q5bzRxWMjN19167q6zLyq/view?usp=drivesdk,11th,no,Physical
Physical-Education-pyqs-2022-11th.pdf,https://drive.google.com/file/d/12InhOV2GR0r1drJ3JZpgdzoSZ9G6dwo7/view?usp=drivesdk,11th,no,Physical
Physical-Education-pyqs-2021-11th.pdf,https://drive.google.com/file/d/1bHg48-b4OwIMVPSP6P-jbMhgbZv-ep55/view?usp=drivesdk,11th,no,Physical
Physical-Education-pyqs-2020-11th.pdf,https://drive.google.com/file/d/15QqTWKJ4LQFx_W1TVlqZkyge8y6jSopb/view?usp=drivesdk,11th,no,Physical
Physical-Education-pyqs-2018-11th.pdf,https://drive.google.com/file/d/1Z9lzATsg1KIsbvhFeMnXLVbqlLilHTkp/view?usp=drivesdk,11th,no,Physical
Mathematics-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1t30ytlxyWnHArs6iiGzzYlKQ8pQM1Bfb/view?usp=drivesdk,11th,no,Mathematics
Mathematics-pyqs-2024-11th.pdf,https://drive.google.com/file/d/1iJnxGmdQl6tBLNuzSOLRBAfAa0pHQBwd/view?usp=drivesdk,11th,no,Mathematics
Mathematics-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1Vw6FQcM2Sy6t-0lbxMIdftuorXKgP8RL/view?usp=drivesdk,11th,no,Mathematics
Mathematics-pyqs-2022-11th.pdf,https://drive.google.com/file/d/1p7ftx9zzKa0ISvnV5KXRfL0BsE4jBTUG/view?usp=drivesdk,11th,no,Mathematics
Mathematics-pyqs-2021-11th.pdf,https://drive.google.com/file/d/16ukuxsOMSYQSHQYPLNHfH8RTqqZ0fcVi/view?usp=drivesdk,11th,no,Mathematics
Mathematics-pyqs-2019-11th.pdf,https://drive.google.com/file/d/1_7fedCVODyoGJEHt9S0liGwExRGGuBis/view?usp=drivesdk,11th,no,Mathematics
Information-Practices-pyqs-2024-11th.pdf,https://drive.google.com/file/d/1ghsEHJ2cQUitm9niKru9x_KI5z72ic83/view?usp=drivesdk,11th,no,Information
History-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1-UOMzmh64IT5EUrSHZ3Rhvk-lskE3d2I/view?usp=drivesdk,11th,no,History
History-pyqs-2024-11th.pdf,https://drive.google.com/file/d/15B0p-_mXzA2t75_z4yy2uSIWDaS2AU9a/view?usp=drivesdk,11th,no,History
History-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1O2MA3B7dMItU7cwsc2DH_-9VEvIZn62I/view?usp=drivesdk,11th,no,History
History-pyqs-2021-11th.pdf,https://drive.google.com/file/d/1Z1mwaZ-eE_w7YeGu4jHNsp4-pGMvS_3I/view?usp=drivesdk,11th,no,History
History-pyqs-2020-11th.pdf,https://drive.google.com/file/d/1bL3YichxCb3YXwUSS4yeoQaiuVa1E079/view?usp=drivesdk,11th,no,History
Hindi-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1ZubSC8a20ps8APbLApn5f2JE_q2xj2n8/view?usp=drivesdk,11th,no,Hindi
Hindi-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1V3opwLqTEViBJF8cU9Xe2JsQ2NjAzpV9/view?usp=drivesdk,11th,no,Hindi
Geography-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1jC3G8d8ovmMpviHYJ4U5yY_SVNZcH9eh/view?usp=drivesdk,11th,no,Geography
Geography-pyqs-2024-11th.pdf,https://drive.google.com/file/d/1f3QPuTq2OnL6iQ4nX2_0WmZqHxIllng8/view?usp=drivesdk,11th,no,Geography
Geography-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1vlc5xCLQwV7XNa8WtThv3fteOv5Xopjz/view?usp=drivesdk,11th,no,Geography
Environmental-Science-pyqs-2025-11th.pdf,https://drive.google.com/file/d/1MQivRk59lUp2GroGQVp7iE7XFcTTpRva/view?usp=drivesdk,11th,no,Environmental
Environmental-Science-pyqs-2024-11th.pdf,https://drive.google.com/file/d/1PGx7mfmumvNPGSqHiTslXdcU_rYyJG93/view?usp=drivesdk,11th,no,Environmental
Environmental-Science-pyqs-2023-11th.pdf,https://drive.google.com/file/d/1cHpw3m4pt-FQTFKjkSWU3S1_ADnb73Jf/view?usp=drivesdk,11th,no,Environmental
Environmental-Science-pyqs-2022-11th.pdf,https://drive.google.com/file/d/1zKIMD-b76HU8NEWRV7W1rUbHCU1pR__e/view?usp=drivesdk,11th,no,Environmental
Environmental-Science-pyqs-2021-11th.pdf,https://drive.google.com/file/d/1W0VK6ZtcwqWJaryZHssTOa7zFOFyZCe4/view?usp=drivesdk,11th,no,Environmental
Environmental-Science-pyqs-2020-11th.pdf,https://drive.google.com/file/d/15isD49WebXAmojtJVeG7_5yg6SCsMOEi/view?usp=drivesdk,11th,no,Environmental
